alpha,beta,p,distance_to_best,mean,stddev
0.1,6.0,0.5,135.83820642920364,7863.516037089125,135.146037020625
0.1,6.0,0.6,135.83820642920364,7866.504942021215,131.92613916257864
0.1,6.0,0.7,135.83820642920364,7797.29321392434,152.02313727985816
0.1,6.0,0.7999999999999999,251.73238112705894,7872.584985180096,89.54594531586386
0.1,6.0,0.8999999999999999,250.6947350377559,7897.7372490863345,95.71026445416133
0.1,7.0,0.0,261.49919845777004,7853.80553624325,28.339031646937404
0.1,7.0,0.1,267.0538518621761,7861.069196240722,62.10558978996082
0.1,7.0,0.2,267.0538518621761,7880.068112889539,42.963002704603575
0.1,7.0,0.30000000000000004,267.0538518621761,7886.345082641183,61.13814537720879
0.1,7.0,0.4,135.83820642920364,7847.123572841617,95.44505490500326
0.1,7.0,0.5,135.83820642920364,7809.432831559219,101.71171895273355
0.1,7.0,0.6,135.83820642920364,7814.870549282434,83.03818811905701
0.1,7.0,0.7,135.83820642920364,7750.971593856438,109.57119496795869
0.1,7.0,0.7999999999999999,230.45181148260872,7845.084011477675,46.53587795390197
0.1,7.0,0.8999999999999999,135.83820642920364,7797.29087409127,95.70437384733336
0.1,8.0,0.0,127.99359354355147,7736.963050301253,58.01206145416646
0.1,8.0,0.1,255.92840076067932,7833.249004096138,19.864783194316878
0.1,8.0,0.2,249.67194344761083,7810.274703720719,11.942344625502601
0.1,8.0,0.30000000000000004,241.06649794432815,7800.781276850183,26.05686801377326
0.1,8.0,0.4,241.06649794432815,7809.066609606088,29.45205239495694
0.1,8.0,0.5,135.83820642920364,7789.222523537125,92.93321086153925
0.1,8.0,0.6,138.46268237748154,7789.290876655721,72.11598439896659
0.1,8.0,0.7,245.04513532751844,7817.949352204149,37.85097928074855
0.1,8.0,0.7999999999999999,135.83820642920364,7825.738360868289,89.80825742932603
0.1,8.0,0.8999999999999999,76.02838051365416,7782.922509716105,95.22788147699475
0.1,9.0,0.0,115.52612866692107,7682.277907274732,26.327653408337195
0.1,9.0,0.1,172.01020329719358,7768.497898290415,81.54542467519043
0.1,9.0,0.2,158.63653252537006,7768.9764805347895,58.65037214880907
0.1,9.0,0.30000000000000004,157.24548385937942,7781.867715841377,50.175006070261
0.1,9.0,0.4,179.71240281474002,7797.516288251347,48.116488145925935
0.1,9.0,0.5,87.25675361358117,7751.755276131792,70.16827224365687
0.1,9.0,0.6,87.25675361358117,7764.561685532526,82.8182995832497
0.1,9.0,0.7,157.24548385937942,7774.659597420723,67.55427828685981
0.1,9.0,0.7999999999999999,157.24548385937942,7721.026059390041,13.07264859595704
0.1,9.0,0.8999999999999999,87.25675361358117,7714.7338588804,84.34575387327988
0.2,1.0,0.0,7126.7544073600075,15087.33161385853,376.715453858185
0.2,1.0,0.1,6405.832665496731,14509.352184027495,447.4337449432402
0.2,1.0,0.2,6961.364864709809,14827.237068131792,225.49929315423844
0.2,1.0,0.30000000000000004,6802.179149435629,14882.268652564098,417.1352382320587
0.2,1.0,0.4,6395.436719572292,14349.1725740332,494.2493149602903
0.2,1.0,0.5,6093.1261746150485,14599.050859629704,577.735924475009
0.2,1.0,0.6,7279.182993743903,15016.6424370506,206.86192304178138
0.2,1.0,0.7,6456.68866082963,14626.302613883738,389.5491459905054
